,start,end,kor,eng
0,48,1932,빅뱅이론 지난 시간,
1,2030,5031,내 오빠...가 베르나데트에게 푹 빠졌어,
2,6471,9505,네가 인디아로 돌아간다고??,
3,15762,17096,뭔..일이야??,
4,17098,18547,(웃음),
5,18549,21434,이건...이건 보이는게 다가 아냐 ㅋㅋ,
6,24555,27073,보이는게 뭔데?,
7,29076,32778,보이는 것이 다가 아니다.,
8,33630,37617,보이는 것이 다가 아니다.,
9,37619,39285,계속 뭐라는거야?,
10,39287,42505,오늘 아침에 일어난 페니의 난제 말이야,
11,42505,44125,페니와 쿠스라팔리..,
12,44125,46342,네 침실에서 나왔지.,
13,46344,49879,그녀는 헝클어져 있었고 라지는 이불 한장 걸치고 있었지.,
14,49881,55101,"단 한 가지 단서는, ""보이는게 다가 아니야.""",
15,55103,57803,"그냥 내버려둬, 쉘든.",
16,57805,61607,"가능하다면, 그랬겠지. 그치만 불가능하니, 안할거야.",
17,61609,63809,"페니를 아는 사람으로써,",
18,63811,66979,확실한 답은 페니가 성교를 했다는 거야,
19,66981,68531,하지만...,
20,68533,70266,"그게 보이는게 다가 아니라는 전제 하예,",
21,70268,73519,우린 그걸 배제해야 돼,
22,73521,74620,이제 써보자고,
23,74622,77623,"우리의 생각하는 모자 말이야, 너도 할래?",
24,81778,85047,라지는 인도에서 왔지 그 더운 나라에서 말야,
25,85049,86749,세 번째로 더러워(third world hygiene??),
26,86751,90119,감염되는 기생충이 엄청 많아 예를 들면 요충같은 거 말야,
27,90121,91721,응 요충들의,
28,91723,93472,"절차는 말야, 먼저 기다리는 거야",
29,93474,95341,목표물이 잠에 들 때까지 말야,
30,95343,97944,그리고 나면 그 벌레들은 공기를 위해서 항문으로 나오게 되지,
31,103967,106269,"그래, 그렇게 말야!",
32,107454,109238,페니는 어쩌면,
33,109240,111741,감염에 대비해 라지의 항문쪽 요충 검사를 한거야!,
34,111743,113276,"오, 이런",
35,113278,115328,정말로 질린 친구군,
36,115330,119332,"걔들 같이 잤습니다, 명탐정님.",
37,119334,121367,"아냐, 못 들었구나?",
38,121369,124787,페니가 말했잖아 그건  아니라고,
39,124789,127206,거짓말이야,
40,130077,132295,오.,
41,133463,136849,이거 쓰고 있는거 병신같아 보여,
42,138268,141887,"♪ Our whole universe was in a hot, dense state ♪",
43,141889,145224,♪ Then nearly 14 billion years ago expansion started... Wait! ♪,
44,145226,146926,♪ The Earth began to cool ♪,
45,146928,149362,"♪ The autotrophs began to drool, Neanderthals developed tools ♪",
46,149364,152064,♪ We built the Wall ♪ ♪   ♪,
47,152066,154717,"♪ Math, Science, History, unraveling the mystery ♪",
48,154719,156652,♪ That all started with a big bang ♪,
49,156654,158621,♪   ♪,
50,158646,162146,"Original Air Date on September 22, 2011",
51,162171,165671,"== sync, corrected by   == == 자막 by 귀족코쟁이/배포자유/첫자막이에여 ㅋㅋ ==",
52,172000,173000,안녕,
53,173002,173834,안녕,
54,173836,175836,안녕,
55,177301,179770,...안녕,
56,186415,188366,"레너드, 이상하지 않아?",
57,188368,191202,네 절친중에 한 명이 네가 사랑했던 여성과,
58,191204,193070,성적인 관계를 맺었다고 해서,
59,193072,195706,네 머릿속 깊은 곳에 그런 생각이 자리잡고 있다는게?,
60,197793,199894,"아니, 난 괜찮아",
61,199896,202046,비꼬는 것처럼 들리는데,
62,202048,204081,무시하지 뭐,
63,204083,206801,왜냐하면 재밌는 주제가 있거든-- 페인트볼이야.,
64,206803,208252,"자세하게 말하면,  이번 주말에 있는",
65,208254,209687,토너먼트를 말하는거야.,
66,209689,212756,병사로써 좀 더 제대로 싸우려면,
67,212758,215592,우린 작전들을 짜야돼,
68,215594,217061,그러니까 내가,
69,217063,219013,"너희 셋보다 뛰어나다는 걸 ㅤㅃㅒㅤ면,",
70,219015,221983,"의문이 남아있지, 바로 작전을 얼마나 짜야 하는가? 야",
71,221985,223234,"자,",
72,223236,225870,나를 별 네개짜리 장군인양 쳐다보지 마,
73,225872,227788,그런 장군은 본부 뒤에서 탁상공론이나 하고,
74,227790,229907,국방 비서랑 골프나 치잖아,
75,229909,231959,그렇다고 내가 병장 쿠퍼가 될수는 없어,
76,231961,233377,왜냐하면 그렇게 된다면,
77,233379,235746,너희들이 나를 regular joe(규칙적인 joe?) 처럼 볼꺼 같으니깐,
78,235748,238282,"생각이 좀 필요하겠지만, 너희가 그런다면.",
79,238284,240051,너 무슨 문제있냐??,
80,240053,241719,"그래, 어쩜 그럴 수가 있어?",
81,241721,244255,네가 뭔 상관인데? - 난 레너드 친구야!,
82,244257,246123,"그래, 맞아. 넌 그냥 질투가  난 것 뿐이지 왜냐하면",
83,246125,247624,페니에게 내가 레너드 다음으로 2빠니까!,
84,247626,251479,"야, 내가 베르나데트랑 안 사겼으면",
85,251481,253097,아마 그건 나였을껄??,
86,254016,256100,아놔 좀! 쉘든이 차라리 낫겟다,
87,256102,259153,아님 너희 대신 고자가 낫겠어!,
