,start,end,kor,eng
0,495,2779,저녁 때 새로운 거 먹을까?,You feel like trying something new for dinner?
1,2780,5081,인도 요리?  텍스 멕스?,"Maybe Indian, Tex-Mex?"
2,5083,7217,인간이 포유류가 아닌,You ever wonder how humans would be different
3,7219,10420,도마뱀으로부터  진화했다면 어땠을까?,if they evolved from lizards instead of mammals?
4,12456,14674,그 주제로 넘어갔군,"Okay, let's talk about that."
5,16093,18812,도마뱀은 냉혈 파충류라,"As you know, lizards-- cold-blooded animals--"
6,18814,20897,스스로 체열을 낼 수 없어,lack the ability to sense temperature.
7,20899,23817,추울 때는  더 느리게 움직인지,But they do move more sluggishly when it's cold.
8,23819,26486,기상캐스터 도마뱀은  이렇게 말할 거야,"So, lizard weathermen would say things like,"
9,26488,29772,"스웨터를 준비하셔야겠어요, 느릿느릿한 날씨네요","""Bring a sweater, it's slow outside."""
10,31775,34861,내 사고방식이 너무 좋다,I love my mind.
11,34863,36412,모두들 팬이야,We all do.
12,36414,37813,암튼 저녁은 뭐 먹을래?,"Now, how about dinner?"
13,37815,42035,곤충이나 더 작은  도마뱀을 먹겠지,"Oh, I would assume we'd enjoy insects or smaller lizards."
14,42037,44037,서로의 꼬리를 뽑아서  구워먹어도 되겠다,We could also pull each other's tails off and grill them;
15,44039,46039,다시 자랄 테니까,they'll just grow back.
16,49827,53713,미스터 스팍  세움간판이 도착했다,My life-size cardboard Mr. Spock is here!
17,53715,57350,인간적 감정의 표출을 바라지 않겠지만,"I know he wouldn't care for an outburst of human emotion,"
18,57352,60186,신난다!,"but, oh, goodie, oh, goodie, oh, goodie."
19,61505,66676,"스팍 중령, 펼쳐질 수 있게  승인 부탁합니다",Commander Spock requesting permission to be unfolded.
20,66678,67677,실례할게,Excuse me.
21,67679,70179,승인되었습니다,"Permission granted, Commander."
22,71782,74367,그러니까 똑똑한 원숭이일수록,"Which is why the more intelligent the monkey,"
23,74369,76986,변을 더 많이  집어던지는 거야,the more feces they fling.
24,78489,80456,"에이미, 잠시 끼어들게","(knocks) Excuse me, Amy."
25,80458,82492,"페니, 오늘 저녁에  시간 어때?","Penny, do you have plans for dinner tonight?"
26,82494,83859,애들이랑 어디 가기로 했어?,"Why, you guys going somewhere?"
27,83861,84994,"아니, 우리 둘만","No, I mean just you and me."
28,84996,88248,데이트처럼?,"You mean, like a date?"
29,88250,90166,"데이트처럼은 아니고,  데이트야","Not like a date, a date."
30,94339,98341,그래,Um... o-okay.
31,98343,99342,그러지 뭐,Sure.
32,104232,107283,잘못된 스팍을 보냈네,They sent the wrong Spock!
33,108402,112021,"오래 살고 꺼져라, 재커리 퀸토","Live long and suck it, Zachary Quinto."
34,112022,114222,,"Original Air Date on January 19, 2012"
35,114223,116223,자막,"== sync, corrected by   =="
36,116264,118382,너무 신난다,This is so exciting.
37,118384,120050,레너드랑 페니가  다시 합치면,"If Leonard and Penny get back together,"
38,120052,122269,우리 커플이랑  더블 데이트하면 되잖아,Howard and I can go on double dates with them.
39,122271,126223,나랑 쉘든은 어쩌고?,How come you never invite Sheldon and me on a double date?
40,129561,131545,"페니, 아직 멀었어?","How's it going in there, Penny?!"
41,131547,133547,잠깐,PENNY: Just a sec.
42,134399,137401,너무 과한가?,Too much?
43,137403,139569,응 - 아니,Yes. No.
44,141139,144074,좀 기다려봐,"Okay, just hang on."
45,144076,147878,성적 매력을  감상할 줄 모르는군,"You just can't handle her raw sexuality, can you?"
46,147880,150997,레너드랑 언제 깨졌어?,When did you and Leonard break up?
47,150999,152766,2년 전,"Uh, about two years ago."
48,152768,155051,왜 갑자기 불러내는 거지?,Why do you think he asked you out again?
49,155053,156002,모르겠어,I don't know.
50,156004,157237,죽을 병에 걸렸을 수도 있어,Maybe he's dying.
51,157239,159389,너무 낭만적이겠다,That would be so romantic.
52,159391,161508,레너드는 건강해,He's not dying.
53,161510,163460,안됐다,Too bad.
54,163462,165962,죽을 병이라면  침대에 눕히고,"If he were, she could just throw him in bed"
55,165964,169116,숨이 넘어갈 때까지  앞뒤로 흔들면 되는데,and ride him right up until he flatlines.
56,171986,174654,이건 어때?,How about this?
57,174656,177674,괜찮을 수도 - 그건 아니다,Maybe. Come on.
58,180529,182662,오늘 외박할 거야?,Do you think you'll sleep with him tonight?
59,182664,183997,절대 그럴 일 없어,PENNY: Absolutely not.
60,183999,185332,일단은 저녁만 먹고,"Look, we're just gonna have dinner"
