,start,end,kor,eng
0,3181,5042,은퇴 파티도 나쁘지 않네,
1,5044,6228,그래,
2,6229,10166,하지만 로스만 교수님이  물러나게 한 건 너무해,
3,10168,12201,학교 측에서도 어쩔 수 없었지,
4,12203,13335,정신이 나갔잖아,
5,13337,16088,이론 물리학자들은  결국 그렇게 되지,
6,16090,18340,쉘든은 얼마나 남았을까,
7,20410,22294,새우가 다 같은 크기네,
8,22296,24930,새우가 먹힐 순서를 논리적으로 정할 수가 없군,
9,26016,30186,얼마 안 남았을 거야,
10,30188,32555,로스만 교수님 사무실이네,
11,32557,34306,슬프다,
12,37144,39311,찜,
13,41098,43782,잘 지내?,
14,43784,45784,"크립키,  여긴 어쩐 일이야?",
15,45786,48621,새 사무실에 커튼을 달려고 사이즈를 재던 중이야,
16,48623,49989,새 사무실이라니?,
17,49991,51707,아직 배정되지 않았잖아,
18,51709,53409,지난 크리스마스 파티 때,
19,53411,56629,교수가 장난감함이랑 섹스를  시도해서 사무실을 찜해뒀지,
20,57780,58914,찜?,
21,58916,60916,여긴 놀이터가  아니라 대학이야,
22,60918,63619,찜했다고 너한테  우선권이 있는게 아냐,
23,63621,64803,너도 방금 그랬으면서,
24,64805,66338,닥쳐,
25,66340,68424,위계질서를 지켜야지,
26,68426,70726,내가 먼저 학교에 왔어,
27,70728,73562,사무실은 내가 먼저 왔는걸,
28,73564,75314,속담에 나오는  '얼리버드'가 바로 나야,
29,77401,79401,로스만 교수님,
30,87694,90829,모자가 다시 유행이라 좋다,
31,91698,94533,품위 있어 보여,
32,116463,120463,,
33,120464,124464,자막,
34,126549,128216,작은 선물을 준비했어,
35,128218,130051,작은 선물?,
36,134223,136391,이건 너무 크잖아,
37,136393,138459,네가 나한테 해준게 얼만데,
38,138461,140562,"에이미,  난 해준 것도 없어",
39,140564,143297,널 만나기 전에는  소심하고 인기도 없었어,
40,143299,144682,지금은 달라,
41,144684,147952,파티를 즐기는 도시 여자야,
42,148654,150021,패거리랑 남자친구도 있고,
43,150023,153441,앞쪽으로 후크를 채우는  레이스 브라가 생겼어,
44,153443,155810,뜯어봐,
45,155812,157996,그래,
46,166672,169174,갖고 있지 않는걸  주고 싶었어,
47,172395,174128,뭐라고 해야...,
48,176216,177665,마음에 들어?,
49,177667,180018,마음에 드냐고?,
50,180020,182837,어디다 걸어둘래?,
51,184941,187559,"있잖아, 그러려면 준비를 해야해",
52,187561,189343,못이랑 망치도 없고,
53,189345,190862,걱정 마,
54,192199,195683,다 준비해놨군,
55,200823,203024,"찾았어, 화장실에 계셔",
56,203026,205076,시버트 총장님,
57,205078,206578,나중에 말하면 안될까?,
58,206580,208379,조금만 시간 내주세요,
59,208381,212550,나는 자네 상사고  성기를 잡고 있다네,
60,212552,215470,"쉘든, 프 라이버시 좀 존중해",
61,215472,218640,"죄송해요, 저 친구는  거리를 둘 줄 몰라요",
62,218642,220842,원하는 게 뭐야?,
63,220844,222376,이 미친놈한테 알려주세요,
64,222378,224062,로스만 교수님 사무실은  제가 쓰기로 했다고요,
65,224064,226264,학과장과 상의하면 안 되겠나?,
66,226266,229067,조교가 그러는데  안식년을 갖고 있대요,
67,229069,233154,사무실 창문이 열고 닫히는  소리가 들리긴 했지만요,
68,233156,237475,자네들 때문에 편하게  일을 볼 수가 없잖아,
69,237477,241395,걱정을 끼치고 싶지는 않지만,
70,241397,244465,소변의 흐름이 감소된 것은,
71,244467,246467,전립선 비대증 증상이기도 해요,
72,246469,248036,원하신다면,
73,248038,250605,유튜브 동영상  링크를 보내드릴게요,
74,250607,252941,혼자서도 직장 검사를  할 수 있대요,
75,252943,257412,조언을 드리자면  우선 손톱을 자르세요,
76,259248,261349,못 들은 걸로 하세요,
77,261351,263818,총장님처럼 젊으신 분이라면,
78,263820,265553,전립선도 건강하겠죠,
79,265555,267822,사탕발림에 넘어가지 마세요,
80,267824,269023,참고로 말씀드리자면,
81,269025,272293,검사할 때 버터를  윤활제로 쓰면 좋아요,
82,272295,275296,두 분이 알아서 해결하세요,
83,275298,277465,두 분 모두  뛰어난 과학자이시고,
84,277467,279033,사무실을 누가 차지하는지는,
85,279035,282937,눈꼽만큼도 관심 없어요,
86,286875,288876,여기까지 왔으니,
87,288878,291112,나도 볼 일이나 봐야지,
88,293482,295450,크립키?,
89,295452,296351,응?,
90,296353,298353,거긴 내 자리야,
91,315738,317905,진짜 크다,
92,318641,320475,완전,
93,320477,322010,그리고 못생겼어,
94,322012,323578,완전 추해,
95,323580,325213,어떻게 해야하지?,
96,325215,327315,모르겠어,
97,327317,329250,걸어두지 않으면 얼마나 실망하겠어,
98,329252,331519,저 얼굴 좀 봐,
99,331521,336691,저 큼직한 얼굴을 보면 마음이 심란해,
100,338661,340795,계속 보면 좀 나아질까?,
101,340797,344732,자신이 남자처럼 보이는 그림을 좋아한다면 가능해,
102,346001,348870,내려야겠다,
103,348872,351105,에이미한테는  뭐라고 하려고?,
104,351107,352340,이러면 어떨까?,
105,352342,355309,우리 둘만 그려서 네가 질투한다고,
106,355311,358746,"안돼, 나한테도 주면 어떡하라고",
107,360649,364585,베니스비치에서 하워드 엄마랑 레게머리를 하는 사진이 있어,
108,364587,366554,충분히 고통스럽다고,
109,366556,368890,에이미가 올 때만 걸어두면 되지만,
110,368892,370658,그러기에는 좀 무거워,
111,370660,373928,그림처럼 힘센 남자가 아니라 아쉽다,
112,378133,379434,이것 좀 봐,
113,379436,381736,이베이에서 어떤 꼬마한테  $25을 내고 주문한 거야,
114,381738,384605,손수제작한 해리포터 지팡이를 주문했는데,
115,384607,386741,그냥 나뭇가지네,
116,388911,392280,뒷마당에서  나뭇가지를 주웠겠지,
117,392282,394816,번호가 새겨있어,
118,394818,396851,한정판이군,
119,396853,398386,좋았어,
120,400223,401522,크립키일 거야,
121,401524,403024,무슨 일인데?,
122,403026,405777,사무실 배정 문제를 신사답게 해결하려고,
123,405779,408830,그게 안 되면  차에 독을 타야지,
124,409915,412417,"쿠퍼 - 크립키, 들어와",
125,412419,414252,차를 끓이고 있어,
126,414254,416737,너도 마실래?,
127,416739,418239,그렇게 한가해 보여?,
128,418241,420074,차는 됐고,
129,421076,423377,본론으로 들어가자,
130,423379,427165,우리 우정을 지키기 위해,
131,427167,428249,우리는 친구 사이가 아냐,
132,428251,431469,가슴 아프지만  사실이긴 하지,
133,432805,436891,너도 알겠지만 외교의 핵심은 타협이야,
134,436893,438309,그 점을 염두에 두고,
135,438311,439593,다음과 같이 제안한다,
136,439595,442263,로스만 사무실은 내가 쓰고,
137,442265,446601,너는 받아들이는 거지,
138,448120,450455,사무실은 내가 쓰고,
139,450457,452824,넌 그냥 짜져 있을래?,
140,459331,462100,차 마시고 싶지 않아?,
141,463035,467388,가위 바위 보 도마뱀 스팍으로 정하면 어때?,
142,467390,470007,그건 대체 뭐야?,
143,470009,476514,인터넷 선두자 샘 캐스가 발명한 게임이야,
144,476516,478816,가위바위보를 더 복잡하게 만들었어,
145,478818,479984,샘 캐스 만세,
146,479986,481986,만세,
147,481988,484438,어떻게 하는데?,
148,484440,485940,간단해,
149,485942,488109,"가위는 보자기를 자르고, 보자기는 바위를 감싸고",
150,488111,491329,"바위는 도마뱀을 뭉개고, 도마뱀은 스팍을 독살하고",
151,491331,494282,"스팍은 가위를 박살내고, 가위는 도마뱀을 죽이고",
152,494284,497484,"도마뱀은 보자기를 먹고, 종이는 스팍을 반증하고",
153,497486,499420,스팍은 바위를 증발시키지,
154,499422,501956,"늘 그렇듯이, 바위는 가위를 부러뜨려",
155,506762,509096,다시 한번 말할래?,
156,510098,511265,물론이지,
157,511267,512666,가위는 보자기를 자르고,
158,512668,513851,보자기는 바위를 감싸고,
159,513853,515686,"바위는 도마뱀을 뭉개고, 도마뱀은 스팍을 독살하고",
160,515688,517054,스팍은 가위를 박살내고,
161,517056,518556,가위는 도마뱀을 죽이고,
162,518558,520174,도마뱀은 보자기를 먹고,
163,520176,521976,"보자기는 스팍을 반증하고, 스팍은 바위를 증발시켜",
164,521978,525847,늘 그렇듯이 바위는 가위를 부러뜨려,
