,start,end,kor,eng
0,2710,4728,,"Hey, want to spend some time playing the new"
1,4730,6029,,game this weekend?
2,6031,8048,,"Oh, I don't know. I kind of promised myself"
3,8050,10484,,"I'd get off the computer, be more physically active."
4,10486,11702,,Get some exercise...
5,11704,14738,,You're about to walk up three flights of stairs.
6,16858,19376,,"Good point, I'm in."
7,19378,20961,,KOOTHRAPPALI: You know what would be great?
8,20963,23247,,Let's do it like the old days.
9,23249,25198,,"You mean, are you talking gaming marathon?"
10,25200,27000,,"Yeah. Start Saturday morning,"
11,27002,28368,,"go 48 hours,"
12,28370,30337,,"sleeping bags, junk food..."
13,30339,33039,,Turn off our phones so our moms can't call.
14,35343,37644,,It would be like our   a few years ago
15,37646,39313,,when the neighbors called the cops on us.
16,39315,40814,,(both chuckle)
17,40816,42182,,They called the cops because of the smell.
18,42184,44384,,They thought we were dead.
19,46888,49389,,We were badass back in the day.
20,51409,52776,,"All right, let's do it."
21,52778,54828,,48 hours of   gaming.
22,54830,56914,,It's on like Alderaan.
23,56916,58499,,(all laugh)
24,58501,60334,,"Hey, Sheldon,"
25,60336,62085,,"clear your weekend. Starting Saturday morning,"
26,62087,63587,,marathon Whoohoo!
27,63589,65372,,Movies or video games?
28,65374,66440,,"No, board game?"
29,66442,67574,,Or trading card games?
30,67576,69126,,Or   Or dress up?
31,69128,70210,,Or comic books?!
32,70212,71995,,Or dramatic readings of novelizations?!
33,71997,74581,,Yes to all!
34,74583,78101,,We are going to play the online game.
35,78103,79353,,The online game?!
36,79355,81638,,Bully!
37,81640,84308,,"Gentlemen, as much as I'm sure Sheldon would enjoy"
38,84310,86193,,"playing intergalactic make-believe,"
39,86195,87611,,he and I have other plans.
40,87613,90380,,We are attending my Aunt Flora's 93rd birthday party.
41,90382,92699,,Just tell her I can't come.
42,92701,95101,,She'll be disappointed if we don't show up.
43,95103,96703,,She's 93.
44,96705,98272,,She won't be disappointed for very long.
45,100258,102993,,"No, hang on. I followed all the protocols"
46,102995,104962,,set forth by you in the relationship agreement.
47,104964,108549,,I made a written record request 72 hours in advance.
48,109450,111618,,I checked the tire pressure on the car.
49,111620,113921,,I even contacted the Centers For Disease Control to find out
50,113923,117174,,what shots they recommend for travel to Orange County.
51,118092,120844,,"FYI, it's none."
52,120846,122729,,"Amy, the relationship agreement was not designed"
53,122731,125816,,for either one of us to get our way.
54,125818,127768,,You use it to get your way.
55,127770,130187,,I use it to get the right way.
56,131322,132856,,The fact that the right way is
57,132858,135075,,also my way is a happy coincidence.
58,136628,137978,,You gave me your word.
59,137980,139196,,You're coming with me.
60,139198,140397,,"We'll miss you, Sheldon."
61,140399,142148,,"Yeah, well,"
62,142150,144117,,"who wants to spend the whole weekend, running around"
63,144119,146920,,a bunch of pretend planets battling made up monsters.
64,146922,149172,,That's for babies.
65,149174,150757,,"Yeah, but it's got lightsabers."
66,150759,154428,,"Yeah, please, Amy! It's got lightsabers!"
67,154430,157998,,"¢Ü Our whole universe was in a hot, dense state ¢Ü"
68,158000,161668,,¢Ü Then nearly 14 billion years ago expansion started... Wait! ¢Ü
69,161670,163186,,¢Ü The Earth began to cool
70,163188,165973,,"¢Ü The autotrophs began to drool, Neanderthals developed tools ¢Ü"
71,165975,168125,,¢Ü We built the Wall ¢Ü   ¢Ü
72,168127,170844,,"¢Ü Math, Science, History, unraveling the mystery ¢Ü"
73,170846,172729,,¢Ü That all started with a big bang ¢Ü
74,172731,174781,,¢Ü   ¢Ü
75,174806,178306,,"Original Air Date on March 8, 2012"
76,178307,181807,,"== sync, corrected by   =="
77,183876,185810,,Hello Stuart. - Hey Sheldon.
78,185835,186946,,Help you with anything?
79,186971,191683,,"Yes. I'm attending a party this weekend, for a 93-year-old woman."
80,192971,194552,,Can you recommend a gift?
81,195738,198239,,"Uh, I don't know."
82,198241,200887,,Could put a tennis ball on the end of Excalibur.
83,200888,203088,,Make a pretty badass cane.
84,204559,206644,,Do you supply the the tennis balls? No.
85,206646,207995,,Then no.
86,209714,210598,,What else?
87,210600,211765,,Hmm...
88,211767,214902,,"Oh, have this collectors edition"
89,214904,216236,,Batman utility belt.
90,216238,219490,,Maybe she can use it as a wearable pill caddy.
91,220942,223243,,"Well, she'd just look silly wearing that"
92,223245,224728,,without the rest of the costume.
93,227699,230117,,"I'm sorry Sheldon, that's it. That's all I got."
94,230119,231234,,"Oh, it's not your fault."
95,231236,232953,,I've been to the model train store.
96,232955,234571,,I've been to Radio Shack.
97,234573,237124,,This woman is impossible to shop for.
98,237126,240010,,I'd make fun of Sheldon for having girl problems
99,240012,243280,,if I wasn't in shock that Sheldon has girl problems.
100,243282,246249,,"No, Leonard, go ahead and mock."
101,246251,249837,,"Like my daddy always said, ""Shelly, women aren't anything"
102,249839,252006,,"but flippin' pains in the bottom."""
103,254209,255809,,That's what your father used to say?
104,255811,258896,,"Well, I took out the bad words and the yeehaw,"
105,258898,260948,,but you get the gist.
106,261866,263200,,"Look, if you don't want to go"
107,263202,264601,,"to the party, just don't go."
108,264603,265602,,You're a grown man.
109,265604,266937,,Act like one.
110,266939,269623,,Tell Amy you want to spend the weekend having a sleepover
111,269625,271875,,and playing video games with your friends.
112,272877,274328,,Maybe she'll dig it.
113,274330,277214,,Women like a firm hand on the tiller.
