,index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc,word_ind,ori_word,clip_index,_before_no,_after_no,before_text,after_text,_before_kor,_after_kor,verify
0,3641,end,228,And you're not holding up your end of the evening.,BB503,744549,746900,and you're not holding up your end of evening,./bigbang,F,1,end,10,7,3,"Leonard, you may not have noticed,
but I am being a delight here.","Oh, sorry. This wedding just reminds me
of my kinda-sorta girlfriend 9,000 miles away.","사회가 인정한 정사를 즐길수가 있게 되잖아
어떤 나라에서는 하객들이 침실밖에서
부부가 오르가즘에 오르면 같이 환호를 해준대
나도 참석하고 싶지만
내일 일이 있어서...
레너드, 모르는가 본데
난 널 기쁘게 하려고 지금 애쓰고 있어","미안해. 결혼식에 오니까
이역만리에 떨어져 있는 내 여자친구가 생각나서
나도 남자친구가 장난감 기차에 미쳐있는데",F
1,8870,end,447,I'm not going to let that end here tonight.,BB505,1141529,1144113,i'm not going to let that end here tonight,./bigbang,F,1,end,11,7,3,"Hey, you know that beautiful actress who plays
the Borg Queen in
Yeah. - Well, I just met her gynecologist!
What are you doing here?
Fighting for our friendship.
As peculiar and annoying as you can be,
you're still my little buddy.","Now put down that drink, let's meet Brent Spiner and go home.
Hey, Sheldon, I'm so glad you made it.
I found something I think you might like.","야 ""First Contact""에서
the Borg Queen 역할했던 이쁜 애 알지?
응 - 나 방금 걔 산부인과 주치의 만났어!
여기서 뭐해?
우리 우정을 위해 싸우고 있지
넌 괴짜고 짜증나기도 하지만
여전히 내 친구니까","이제 그 술 내려놓고 Brent Spiner만 보고 집에 가자
헤이 쉘든 네가 오니 정말 좋다
네가 좋아할 만한거 챙겨놨어",F
2,12619,end,189,why don't you just end things with Priya?,BB507,717850,719766,why don't you just end things with priya,./bigbang,F,1,end,12,8,3,"Well, good for you.
The problem is, I want to be one of those guys.
So sleep with the new girl and lie to Priya.
Oh, that's not who I am.
All right, then break it off with the new girl.
Now, let's not do anything rash.
She's really hot.
If you like this girl so much,","Priya and I are in love.
I think we could get married someday.
Leonard, you're looking for a way to sleep with both women","좋은 자세야
나도 그런 남자가 되고 싶은 게 문제야
그럼 걔랑 자고 프리야한테는 거짓말 해
나답지 않잖아
그럼 새 여자랑 그만 만나
그건 너무 성급하지
정말 매력적이야
걔가 그렇게 좋으면","프리야랑은 사랑하는 사이야
언젠가는 결혼할 생각이고
두 여자를 차지하고 모두 만족하길 바라고 있네",F
3,12790,end,219,"they say at the end of your life,",BB507,836935,838852,they say at end of your life,./bigbang,F,1,end,13,6,3,"but she's in India.
All right. So the topic at hand is sexual fidelity.
Probably won't be relying on Seuss here.
Although
might be surprisingly applicable.
Go on.","you regret the stuff you didn't do
more than the stuff that you did,
and I'm pretty sure Alice is the stuff I want to do.","프리야는 인도에 있지만
성적 충실 의무에 대한 문제니까
닥터 수스는 없어도 되겠군
'One Fish, Two Fish,  Red Fish, Blue Fish'라는 책은
적용할 수도 있겠다
계속 해","그때가지 한 일보다
하지 못한 일을 더 후회한다잖아
그리고 난 앨리스랑 하고 싶은 게 확실해",F
4,15547,end,18,at the end of the night.,BB509,49150,50543,at end of night,./bigbang,F,1,end,14,8,2,"I know, it's high-resolution sadness.
Well, I'm going to take myself out to a movie tonight.
You want to go?
Really? Do we do that?
What do you mean?
You know, we haven't spent time alone together
Oh, it's not a date, Leonard.
It's just a man and a woman hanging out, not having sex","Sounds like most of my dates.
SHELDON: Oh, dear Lord, get away from me, you monster!","나도 알아,  고해상도의 찌질함이지
오늘 영화보려고 했는데
같이 갈래?
그래도 돼?
무슨 소리야?
헤어진 이후로 그런 적 없잖아
데이트 아냐, 레너드
남자랑 여자가  같이 시간을 보내고","내가 나간 데이트는 다 그랬어
저리 가, 이 괴물아!",F
5,16510,end,172,"No, I love them. I save them for the end,",BB509,565882,568549,no i love them i save them for end,./bigbang,F,1,end,15,8,4,"I saw you tearing up when the village got flooded,
and everyone had to relocate.
No, I was thinking how come they get to leave and I can't.
I'm going to get some fries.
You want anything?
Uh, no, thanks. - Are you sure?
You always say no, and then you eat half my fries.
I just eat the little crispy ones you don't like.","but they're gone because you ate them.
And why did
To get sex. - Exactly.
But this is not a date.","마을에 홍수가 나서
주민들이 이사할 때 눈물도 글썽이던데
아니, 모두 떠나는데 나만 계속 있어야 해서 그랬어
감자튀김 주문할게
뭐 먹을래?
난 괜찮아 - 정말?
괜찮다고 한 다음에 내 것을 반이나 먹잖아
네가 싫어하는  바삭한 거로 골라 먹잖아","네가 다 먹어서 못 먹는 거고
왜 양보했냐고?
섹스 하려고 - 바로 그거야
하지만 이건 데이트가 아냐",F
6,17534,end,351,for everything so we could end up in bed.,BB509,1186894,1189429,for everything so we could end up in bed,./bigbang,F,1,end,16,7,3,"all in all, a pretty magical night.
Okay, I'm not innocent in all this,
but you basically called me stupid, you asthmatic dumbass.
I know, I-I-I crossed a line.
And I'm sorry.
No, no, no, hang on. I really mean it.
And it's not like when we were going out, I'd just apologize","This is a 100%
(sighs) All right. Thank you.
I'm sorry, too.","꽤 아름다운 밤이였네
그래, 나도 잘못이 있지만
넌 날 바보라 불렀어, 이 천식쟁이야
좀 심했던 것 같네
사과할게
잠깐, 진심이야
우리가 사귀던 때랑 달라","섹스는 고려할 것도 없이 100% 진심인 사과야
알았어, 고마워
나도 미안해",F
7,22006,end,33,I really don't think they're gonna end up,BB512,101292,102891,i really don't think they're gonna end up,./bigbang,F,1,end,17,6,3,"by telling them that rabbits
come out of hats, then we create adults
and that Ryan Reynolds was a better choice for
than lovable rogue Nathan Fillion.
Sheldon,
he's just gonna do a few magic tricks for some kids.","Don't be so hard on him.
It's natural to be a little cranky when you have...
(grunts): a quarter in your ear!","아이들의 비판적  사고법을 해치면
어른이 되서도  점성술과 동종요법을 믿겠지
'그린 랜턴'에  라이언 레이놀즈가
나단 필리온보다  더 어울린다고 생각할걸
쉘든
마술을 보여주는 것 뿐이야","너무 몰아붙이지 마
쉽게 짜증 낼 법도 해
귓속에 동전이 있거든",F
8,25216,end,223,How does a miserable date end in sex?,BB513,697744,700411,how does miserable date end in sex,./bigbang,F,1,end,18,7,4,"Yeah, except for when I got the foot cramp.
You hung in there, though.
There was a lot at stake.
So what do you want to do now?
Well, I want to go get my asthma inhaler,
but it might ruin the moment.
Just, just help me out here.","I don't know, it's complicated.
Well, I'm a pretty smart guy,
and right now my brain has dibs on the blood supply,
so give it a go.","발에 쥐가 나긴 했지만
잘 버텼어
많은 게 걸려 있었지
이제는 뭐할래?
천식 호흡기를 갖고 오고 싶은데
분위기를 깰까봐
이해 좀 시켜줘","몰라, 복잡해
난 머리가 좋은 남자야
그리고 지금은 뇌에 피 공급이 잘 되고 있어
한번 설명해봐",F
9,31396,end,194,while you put yourself on the business end,BB516,592227,595194,while you put yourself on business end,./bigbang,F,1,end,19,6,3,"the love story Disney should tell.
Okay, what do we start with?
Maybe splicing some genes, clone a sheep,
perhaps grow a human ear on a mouse's back?
Ha-ha, I'm a freak!
Oh, I'm gonna be doing","Wash those bea...
Oh, I get it, a little hazing for the new fella.
Yeah, I'd better keep and eye out for, what,","디즈니에서는  이런 걸 소재로 해야지
무엇부터 할까?
유전자 결합, 복제양 만들기
아니면 쥐 등에  인간 귀를 심어볼까?
난 괴물이다!
내가 뇌간 조직을  연구하는 동안","비커 설거지...
신고식같은 거군
또 뭘 준비하셨나",F
